"","terms","count"
"1","the",94
"2","and",748
"3","that",387
"4","for",344
"5","you",239
"6","not",223
"7","with",213
"8","was",184
"9","have",149
"10","are",139
"11","this",118
"12","but",86
"13","from",23
"14","they",893
"15","will",883
"16","said",863
"17","his",855
"18","all",836
"19","one",809
"20","about",803
"21","had",802
"22","can",794
"23","has",782
"24","out",780
"25","what",777
"26","who",752
"27","when",751
"28","more",744
"29","just",743
"30","there",738
"31","your",730
"32","she",718
"33","like",711
"34","her",697
"35","would",682
"36","their",676
"37","time",670
"38","some",624
"39","were",620
"40","been",617
"41","get",606
"42","our",589
"43","new",585
"44","which",547
"45","them",544
"46","now",533
"47","how",529
"48","people",526
"49","year",506
"50","day",501
"51","than",497
"52","into",494
"53","also",487
"54","good",485
"55","first",480
"56","after",477
"57","did",476
"58","know",474
"59","other",459
"60","because",454
"61","over",443
"62","back",442
"63","two",440
"64","its",432
"65","him",427
"66","then",425
"67","only",421
"68","love",416
"69","could",413
"70","last",407
"71","make",403
"72","see",394
"73","think",390
"74","even",383
"75","much",376
"76","well",373
"77","going",371
"78","way",360
"79","really",357
"80","here",347
"81","years",339
"82","most",327
"83","where",323
"84","off",321
"85","very",319
"86","too",317
"87","many",315
"88","great",313
"89","work",310
"90","want",307
"91","those",301
"92","still",299
"93","right",296
"94","any",292
"95","got",289
"96","these",286
"97","before",283
"98","down",282
"99","today",279
"100","made",278
"101","little",272
"102","life",270
"103","being",265
"104","may",263
"105","through",259
"106","while",256
"107","take",253
"108","home",249
"109","need",246
"110","state",241
"111","does",236
"112","say",234
"113","week",228
"114","never",222
"115","world",216
"116","things",212
"117","school",208
"118","next",206
"119","something",203
"120","come",202
"121","should",198
"122","best",196
"123","another",195
"124","three",190
"125","around",188
"126","city",188
"127","game",187
"128","few",185
"129","long",185
"130","why",182
"131","every",181
"132","old",178
"133","night",174
"134","always",170
"135","since",161
"136","better",159
"137","own",155
"138","such",153
"139","look",152
"140","big",150
"141","use",146
"142","same",144
"143","let",141
"144","again",138
"145","show",137
"146","high",133
"147","man",131
"148","place",129
"149","family",128
"150","each",126
"151","part",125
"152","team",123
"153","lot",122
"154","find",120
"155","thing",116
"156","thanks",115
"157","help",114
"158","house",112
"159","end",109
"160","days",108
"161","both",106
"162","feel",104
"163","says",102
"164","put",99
"165","sure",97
"166","until",96
"167","book",91
"168","though",88
"169","season",85
"170","away",84
"171","used",82
